Reference,Value,Supplier,Supplier P/N,Manufacturer,Manufacturer P/N,Footprint,Qty,DNP
C1,680uF,LCSC,C26225,CX(Dongguan Chengxing Elec),GR687M050J20RR0VH4FP0,Capacitor_THT:CP_Radial_D13.0mm_P5.00mm,1,
C2,10uF,LCSC,C13585,Samsung Electro-Mechanics,CL31A106KBHNNNE,Capacitor_SMD:C_1206_3216Metric,1,
C3,100nF,LCSC,C28233,Samsung Electro-Mechanics,CL21B104KCFNNNE,Capacitor_SMD:C_0805_2012Metric,1,
C4,180uF,LCSC,C442817,Ymin,LKMC0901E181MF,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,1,
D1,MB10S,LCSC,C2488, MDD(Microdiode Semiconductor),MB10S-50MIL ,Footprints:OnSemi_751EP_SOIC-4_3.9x4.725mm_P2.54mm,1,
D2,SS34,LCSC,C8678,MDD(Microdiode Semiconductor),SS34,Diode_SMD:D_SMA,1,
"D3,D9,D10,D11,D12,D13,D18,D19,D20,D21",RED,LCSC,C2286,Hubei KENTO Elec,KT-0603R,LED_SMD:LED_0603_1608Metric,10,
"D4,D5,D6,D7,D8,D14,D15,D16,D17",BTB16-600BWRG,LCSC,C669873,STMicroelectronics,BTB16-600BWRG,Footprints:TO-220-3_Horizontal_TabDown_NoHole,9,
D22,SMAJ33A,LCSC,C223988,Littelfuse ,SMAJ33A,Diode_SMD:D_SMA,1,
F1,M205 2A,LCSC,C842712,XFCN,PTF-15,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,
F2,250mA,LCSC,C20871,RUILON(Shenzhen Ruilongyuan Elec),RLVR240-025,Fuse:Fuse_BelFuse_0ZRE0033FF_L11.4mm_W3.8mm,1,
"J1,J2,J3,J4",DB910-7.62-3P-GN-S,LCSC,C395877,DORABO,DB910-7.62-3P-GN-S,Footprints:DORABO_DB910-7.62-3P-GN-S_1x03_P7.62mm_Vertical,4,
J5,Conn_01x04,LCSC,C3034542,DORABO,DB301V-5.0-4P-BU-S,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,
"J6,J7",Conn_01x19,LCSC,C2932678,Shenzhen Kinghelm Elec,KH-2.54FH-1X19P-H8.5,Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical,2,
L2,68uH,LCSC,C9393,SXN(Shun Xiang Nuo Elec),SMNR5040-680MT,Inductor_SMD:L_APV_ANR5045,1,
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11",AO3400A,LCSC,C20917,Alpha & Omega Semicon,AO3400A,Package_TO_SOT_SMD:SOT-23_Handsoldering,11,
"R1,R4,R9,R25,R27,R29,R31,R33,R57,R59,R61,R63",1.2k,LCSC,C17379,UNI-ROYAL(Uniroyal Elec),0805W8F1201T5E,Resistor_SMD:R_0805_2012Metric,12,
"R2,R7,R35,R36,R37,R38,R39,R65,R66,R67,R68",10k,LCSC,C17414,UNI-ROYAL(Uniroyal Elec),0805W8F1002T5E,Resistor_SMD:R_0805_2012Metric,11,
"R3,R8,R40,R41,R42,R43,R44,R69,R70,R71,R72",1k,LCSC,C17513,UNI-ROYAL(Uniroyal Elec),0805W8F1001T5E,Resistor_SMD:R_0805_2012Metric,11,
"R10,R11,R12,R13,R14,R26,R28,R30,R32,R34,R45,R46,R47,R48,R58,R60,R62,R64",120R,LCSC,C17437,UNI-ROYAL(Uniroyal Elec),0805W8F1200T5E,Resistor_SMD:R_0805_2012Metric,18,
"R20,R21,R22,R23,R24,R53,R54,R55,R56",22R,LCSC,C17561,UNI-ROYAL(Uniroyal Elec),0805W8F220JT5E,Resistor_SMD:R_0805_2012Metric,9,
U1,XL1509-5.0,LCSC,C61063,XLSEMI,XL1509-5.0E1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
"U2,U3,U4,U5,U6,U7,U8,U9,U10",MOC3063S,LCSC,C77950,Lite-On,MOC3063S-TA1,Footprints:MOC306XS_LTO,9,
