Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,C_1206_3216Metric,148.082,-73.406,90,top
C3,100nF,C_0805_2012Metric,145.796,-73.914,-90,top
D1,MB10S,OnSemi_751EP_SOIC-4_3.9x4.725mm_P2.54mm,143.129,-101.854,-90,top
D2,SS34,D_SMA,149.098,-78.486,180,top
D3,RED,LED_0603_1608Metric,160.274,-82.042,-90,top
D9,RED,LED_0603_1608Metric,173.482,-145.542,0,top
D10,RED,LED_0603_1608Metric,181.102,-145.542,0,top
D11,RED,LED_0603_1608Metric,188.722,-145.542,0,top
D12,RED,LED_0603_1608Metric,196.342,-145.542,0,top
D13,RED,LED_0603_1608Metric,203.962,-145.542,0,top
D18,RED,LED_0603_1608Metric,211.582,-145.542,0,top
D19,RED,LED_0603_1608Metric,219.202,-145.542,0,top
D20,RED,LED_0603_1608Metric,226.822,-145.542,0,top
D21,RED,LED_0603_1608Metric,234.442,-145.542,0,top
D22,SMAJ33A,D_SMA,141.464,-78.489,180,top
L2,68uH,L_APV_ANR5045,155.956,-79.502,0,top
Q1,AO3400A,SOT-23_Handsoldering,173.101,-79.121,180,top
Q2,AO3400A,SOT-23_Handsoldering,186.539,-79.121,180,top
Q3,AO3400A,SOT-23_Handsoldering,151.638,-105.156,-90,top
Q4,AO3400A,SOT-23_Handsoldering,162.56,-105.156,-90,top
Q5,AO3400A,SOT-23_Handsoldering,173.482,-105.156,-90,top
Q6,AO3400A,SOT-23_Handsoldering,184.428,-105.156,-90,top
Q7,AO3400A,SOT-23_Handsoldering,195.326,-105.18,-90,top
Q8,AO3400A,SOT-23_Handsoldering,206.248,-105.156,-90,top
Q9,AO3400A,SOT-23_Handsoldering,217.17,-105.156,-90,top
Q10,AO3400A,SOT-23_Handsoldering,228.092,-105.18,-90,top
Q11,AO3400A,SOT-23_Handsoldering,239.014,-105.156,-90,top
R1,1.2k,R_0805_2012Metric,169.164,-79.121,90,top
R2,10k,R_0805_2012Metric,170.561,-82.169,0,top
R3,1k,R_0805_2012Metric,174.244,-82.169,180,top
R4,1.2k,R_0805_2012Metric,182.602,-79.121,90,top
R7,10k,R_0805_2012Metric,183.999,-82.169,0,top
R8,1k,R_0805_2012Metric,187.682,-82.169,180,top
R9,1.2k,R_0805_2012Metric,160.274,-78.486,90,top
R10,120R,R_0805_2012Metric,150.0105,-124.714,180,top
R11,120R,R_0805_2012Metric,160.9325,-124.714,180,top
R12,120R,R_0805_2012Metric,171.8545,-124.714,180,top
R13,120R,R_0805_2012Metric,182.7765,-124.714,180,top
R14,120R,R_0805_2012Metric,193.6985,-124.714,180,top
R20,22R,R_0805_2012Metric,154.178,-121.92,90,top
R21,22R,R_0805_2012Metric,165.1,-121.92,90,top
R22,22R,R_0805_2012Metric,176.022,-121.92,90,top
R23,22R,R_0805_2012Metric,186.944,-121.92,90,top
R24,22R,R_0805_2012Metric,197.866,-121.92,90,top
R25,1.2k,R_0805_2012Metric,146.812,-125.984,-90,top
R26,120R,R_0805_2012Metric,154.686,-106.172,-90,top
R27,1.2k,R_0805_2012Metric,157.734,-125.984,-90,top
R28,120R,R_0805_2012Metric,165.608,-106.172,-90,top
R29,1.2k,R_0805_2012Metric,168.656,-125.984,-90,top
R30,120R,R_0805_2012Metric,176.53,-106.172,-90,top
R31,1.2k,R_0805_2012Metric,179.578,-125.984,-90,top
R32,120R,R_0805_2012Metric,187.452,-106.172,-90,top
R33,1.2k,R_0805_2012Metric,190.5,-125.984,-90,top
R34,120R,R_0805_2012Metric,198.374,-106.172,-90,top
R35,10k,R_0805_2012Metric,148.844,-104.14,90,top
R36,10k,R_0805_2012Metric,159.766,-104.14,90,top
R37,10k,R_0805_2012Metric,170.688,-104.14,90,top
R38,10k,R_0805_2012Metric,181.61,-104.14,90,top
R39,10k,R_0805_2012Metric,192.532,-104.14,90,top
R40,1k,R_0805_2012Metric,154.686,-102.616,-90,top
R41,1k,R_0805_2012Metric,165.608,-102.616,-90,top
R42,1k,R_0805_2012Metric,176.53,-102.616,-90,top
R43,1k,R_0805_2012Metric,187.452,-102.616,-90,top
R44,1k,R_0805_2012Metric,198.374,-102.616,-90,top
R45,120R,R_0805_2012Metric,204.6205,-124.714,180,top
R46,120R,R_0805_2012Metric,215.5425,-124.714,180,top
R47,120R,R_0805_2012Metric,226.4645,-124.714,180,top
R48,120R,R_0805_2012Metric,237.3865,-124.714,180,top
R53,22R,R_0805_2012Metric,208.788,-121.92,90,top
R54,22R,R_0805_2012Metric,219.71,-121.92,90,top
R55,22R,R_0805_2012Metric,230.632,-121.92,90,top
R56,22R,R_0805_2012Metric,241.554,-121.92,90,top
R57,1.2k,R_0805_2012Metric,201.422,-125.984,-90,top
R58,120R,R_0805_2012Metric,209.296,-106.172,-90,top
R59,1.2k,R_0805_2012Metric,212.344,-125.984,90,top
R60,120R,R_0805_2012Metric,220.218,-106.172,-90,top
R61,1.2k,R_0805_2012Metric,223.266,-125.984,-90,top
R62,120R,R_0805_2012Metric,231.14,-106.172,-90,top
R63,1.2k,R_0805_2012Metric,234.188,-125.984,-90,top
R64,120R,R_0805_2012Metric,242.062,-106.172,-90,top
R65,10k,R_0805_2012Metric,203.454,-104.14,90,top
R66,10k,R_0805_2012Metric,214.376,-104.14,90,top
R67,10k,R_0805_2012Metric,225.298,-104.14,90,top
R68,10k,R_0805_2012Metric,236.22,-104.14,90,top
R69,1k,R_0805_2012Metric,209.296,-102.616,-90,top
R70,1k,R_0805_2012Metric,220.218,-102.616,-90,top
R71,1k,R_0805_2012Metric,231.14,-102.616,-90,top
R72,1k,R_0805_2012Metric,242.062,-102.616,-90,top
U1,XL1509-5.0,SOIC-8_3.9x4.9mm_P1.27mm,152.146,-72.898,90,top
U2,MOC3063S,MOC306XS_LTO,151.638,-114.3,-90,top
U3,MOC3063S,MOC306XS_LTO,162.56,-114.3,-90,top
U4,MOC3063S,MOC306XS_LTO,173.482,-114.3,-90,top
U5,MOC3063S,MOC306XS_LTO,184.404,-114.3,-90,top
U6,MOC3063S,MOC306XS_LTO,195.326,-114.3,-90,top
U7,MOC3063S,MOC306XS_LTO,206.248,-114.3,-90,top
U8,MOC3063S,MOC306XS_LTO,217.17,-114.3,-90,top
U9,MOC3063S,MOC306XS_LTO,228.092,-114.3,-90,top
U10,MOC3063S,MOC306XS_LTO,239.014,-114.3,-90,top
